Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sp4621hp-po-500000
Airfoil,sp4621hp-po
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,105.034
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-sp4621hp-po-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr

-14.250,-0.8269,0.04787,0.04263,-0.0854,1.0005,0.0233
-14.000,-0.8249,0.04655,0.04132,-0.0839,1.0005,0.0238
-13.750,-0.8167,0.04524,0.04001,-0.0835,1.0001,0.0243
-13.500,-0.7898,0.04350,0.03824,-0.0869,0.9978,0.0252
-13.250,-0.7622,0.04182,0.03649,-0.0902,0.9953,0.0263
-13.000,-0.7340,0.04022,0.03479,-0.0935,0.9930,0.0272
-12.750,-0.7094,0.03868,0.03329,-0.0959,0.9885,0.0283
-12.500,-0.6794,0.03724,0.03184,-0.0993,0.9843,0.0295
-12.250,-0.6496,0.03592,0.03046,-0.1022,0.9787,0.0308
-12.000,-0.6217,0.03460,0.02910,-0.1047,0.9702,0.0321
-11.750,-0.5955,0.03331,0.02783,-0.1070,0.9557,0.0335
-11.500,-0.5634,0.03210,0.02656,-0.1100,0.9300,0.0353
-11.250,-0.5345,0.03101,0.02525,-0.1122,0.8788,0.0371
-11.000,-0.5200,0.03026,0.02429,-0.1116,0.8319,0.0387
-10.750,-0.5039,0.02962,0.02348,-0.1112,0.8077,0.0403
-10.500,-0.4861,0.02901,0.02273,-0.1110,0.7926,0.0420
-10.250,-0.4721,0.02820,0.02189,-0.1106,0.7813,0.0440
-10.000,-0.4549,0.02754,0.02118,-0.1105,0.7717,0.0462
-9.750,-0.4361,0.02695,0.02050,-0.1105,0.7637,0.0484
-9.500,-0.4217,0.02612,0.01967,-0.1102,0.7561,0.0510
-9.250,-0.4043,0.02547,0.01897,-0.1101,0.7495,0.0537
-9.000,-0.3861,0.02484,0.01830,-0.1099,0.7439,0.0564
-8.750,-0.3752,0.02402,0.01752,-0.1092,0.7381,0.0596
-8.500,-0.3566,0.02343,0.01686,-0.1093,0.7329,0.0631
-8.250,-0.3381,0.02264,0.01608,-0.1098,0.7281,0.0672
-8.000,-0.3168,0.02191,0.01536,-0.1106,0.7231,0.0720
-7.750,-0.2949,0.02109,0.01454,-0.1118,0.7182,0.0776
-7.500,-0.2702,0.02041,0.01383,-0.1132,0.7136,0.0838
-7.250,-0.2445,0.01947,0.01292,-0.1154,0.7094,0.0914
-7.000,-0.2164,0.01869,0.01214,-0.1175,0.7050,0.0991
-6.750,-0.1861,0.01774,0.01121,-0.1206,0.7008,0.1093
-6.500,-0.1524,0.01670,0.01018,-0.1245,0.6969,0.1220
-6.250,-0.1146,0.01561,0.00908,-0.1294,0.6930,0.1381
-6.000,-0.0698,0.01418,0.00773,-0.1363,0.6891,0.1642
-5.750,0.0206,0.01059,0.00508,-0.1576,0.6847,0.4467
-5.500,0.0525,0.01090,0.00529,-0.1583,0.6811,0.4682
-5.250,0.0829,0.01132,0.00564,-0.1586,0.6774,0.4788
-5.000,0.1135,0.01175,0.00599,-0.1589,0.6738,0.4875
-4.750,0.1425,0.01203,0.00629,-0.1589,0.6702,0.4933
-4.500,0.1695,0.01247,0.00676,-0.1582,0.6666,0.4979
-4.250,0.1987,0.01281,0.00706,-0.1583,0.6632,0.5029
-4.000,0.2304,0.01311,0.00722,-0.1591,0.6599,0.5069
-3.750,0.2580,0.01324,0.00738,-0.1588,0.6564,0.5101
-3.500,0.2840,0.01358,0.00778,-0.1580,0.6530,0.5129
-3.250,0.3112,0.01387,0.00808,-0.1575,0.6495,0.5156
-3.000,0.3394,0.01409,0.00830,-0.1573,0.6461,0.5183
